date;pre;pet;sol
22/06/2007;0;3.970279;592.1
23/06/2007;24.2;3.970279;592.1
24/06/2007;15;3.970279;592.1
25/06/2007;2.6;3.970279;592.1
26/06/2007;0.6;3.970279;592.1
27/06/2007;9.6;3.970279;592.1
28/06/2007;11.8;3.970279;592.1
29/06/2007;0.4;3.970279;592.1
30/06/2007;10;3.970279;592.1
01/07/2007;13;3.970279;592.1
02/07/2007;7.6;3.970279;592.1
03/07/2007;0;3.970279;592.1
04/07/2007;0.6;3.970279;592.1
05/07/2007;3.4;3.970279;592.1
06/07/2007;3.6;3.970279;592.1
07/07/2007;6;3.970279;592.1
08/07/2007;7.2;3.970279;592.1
09/07/2007;0;3.970279;592.1
10/07/2007;28.8;3.970279;592.1
11/07/2007;1.6;3.970279;592.1
12/07/2007;25.4;3.970279;592.1
13/07/2007;3.8;3.970279;592.1
14/07/2007;3.4;3.970279;592.1
15/07/2007;17.4;3.970279;592.1
16/07/2007;1.2;3.970279;592.1
17/07/2007;10.2;3.970279;592.1
18/07/2007;0;3.970279;592.1
19/07/2007;0;3.970279;592.1
20/07/2007;0.6;3.970279;592.1
21/07/2007;0;3.970279;592.1
22/07/2007;0;3.970279;592.1
23/07/2007;0;3.970279;592.1
24/07/2007;0.2;3.970279;592.1
25/07/2007;0;3.970279;592.1
26/07/2007;0;3.970279;592.1
27/07/2007;0.8;3.970279;592.1
28/07/2007;1.8;3.970279;592.1
29/07/2007;1.6;3.970279;592.1
30/07/2007;36.2;3.970279;592.1
31/07/2007;1.8;3.970279;592.1
01/08/2007;0.2;3.970279;592.1
02/08/2007;0;3.970279;592.1
03/08/2007;0.2;3.970279;592.1
04/08/2007;0;3.970279;592.1
05/08/2007;0;3.970279;592.1
06/08/2007;0;3.970279;592.1
07/08/2007;0;3.970279;592.1
08/08/2007;3.4;3.970279;592.1
09/08/2007;1.2;3.970279;592.1
10/08/2007;3.4;3.970279;592.1
11/08/2007;0;3.970279;592.1
12/08/2007;0.4;3.970279;592.1
13/08/2007;5.6;3.970279;592.1
14/08/2007;1.8;3.970279;592.1
15/08/2007;0.8;3.970279;592.1
16/08/2007;0;3.970279;592.1
17/08/2007;0;3.970279;592.1
18/08/2007;3.8;3.970279;592.1
19/08/2007;7.2;3.970279;592.1
20/08/2007;0;3.970279;592.1
21/08/2007;0.8;3.970279;592.1
22/08/2007;0;3.970279;592.1
23/08/2007;0;3.970279;592.1
24/08/2007;0.4;3.970279;592.1
25/08/2007;0;3.970279;592.1
26/08/2007;0;3.970279;592.1
27/08/2007;0;3.970279;592.1
28/08/2007;0.2;3.970279;592.1
29/08/2007;0;3.970279;592.1
30/08/2007;0.4;3.970279;592.1
31/08/2007;5.6;3.970279;592.1
01/09/2007;0;3.970279;592.1
02/09/2007;0;3.970279;592.1
03/09/2007;0;3.970279;592.1
04/09/2007;0.2;3.970279;592.1
05/09/2007;1.4;3.970279;592.1
06/09/2007;0.6;3.970279;592.1
07/09/2007;0.4;3.970279;592.1
08/09/2007;0;3.970279;592.1
09/09/2007;1;3.970279;592.1
10/09/2007;8.6;3.970279;592.1
11/09/2007;0;3.970279;592.1
12/09/2007;0.2;3.970279;592.1
13/09/2007;0;3.970279;592.1
14/09/2007;0;3.970279;592.1
15/09/2007;0;3.970279;592.1
16/09/2007;0.8;3.970279;592.1
17/09/2007;0;3.970279;592.1
18/09/2007;0;3.970279;592.1
19/09/2007;0;3.970279;592.1
20/09/2007;2.4;3.970279;592.1
21/09/2007;0;3.970279;592.1
22/09/2007;155.3;3.970279;592.1
23/09/2007;9.2;3.970279;592.1
24/09/2007;0;3.970279;592.1
25/09/2007;0;3.970279;592.1
26/09/2007;0;3.970279;592.1
27/09/2007;0;3.970279;592.1
28/09/2007;0;3.970279;592.1
29/09/2007;0;3.970279;592.1
30/09/2007;0;3.970279;592.1
01/10/2007;0;3.970279;592.1
02/10/2007;0.6;3.970279;592.1
03/10/2007;0;3.970279;592.1
04/10/2007;0;3.970279;592.1
05/10/2007;0;3.970279;592.1
06/10/2007;0;3.970279;592.1
07/10/2007;3.2;3.970279;592.1
08/10/2007;0.4;3.970279;592.1
09/10/2007;0;3.970279;592.1
10/10/2007;0.2;3.970279;592.1
11/10/2007;0;3.970279;592.1
12/10/2007;0;3.970279;592.1
13/10/2007;0.2;3.970279;592.1
14/10/2007;0;3.970279;592.1
15/10/2007;0.2;3.970279;592.1
16/10/2007;8.2;3.970279;592.1
17/10/2007;0.2;3.970279;592.1
18/10/2007;0;3.970279;592.1
19/10/2007;0;3.970279;592.1
20/10/2007;0.2;3.970279;592.1
21/10/2007;0;3.970279;592.1
22/10/2007;0.4;3.970279;592.1
23/10/2007;0;3.970279;592.1
24/10/2007;0;3.970279;592.1
25/10/2007;0;3.970279;592.1
26/10/2007;0;3.970279;592.1
27/10/2007;0;3.970279;592.1
28/10/2007;1.4;3.970279;592.1
29/10/2007;11.8;3.970279;592.1
30/10/2007;0.6;3.970279;592.1
31/10/2007;0.4;3.970279;592.1
01/11/2007;0;3.970279;592.1
02/11/2007;0;3.970279;592.1
03/11/2007;1.4;3.970279;592.1
04/11/2007;0;3.970279;592.1
05/11/2007;0;3.970279;592.1
06/11/2007;0;3.970279;592.1
07/11/2007;0;3.970279;592.1
08/11/2007;2.4;3.970279;592.1
09/11/2007;3.2;3.970279;592.1
10/11/2007;2.8;3.970279;592.1
11/11/2007;0;3.970279;592.1
12/11/2007;0;3.970279;592.1
13/11/2007;0.2;3.970279;592.1
14/11/2007;0;3.970279;592.1
15/11/2007;0.2;3.970279;592.1
16/11/2007;0.6;3.970279;592.1
17/11/2007;0.6;3.970279;592.1
18/11/2007;0;3.970279;592.1
19/11/2007;0.2;3.970279;592.1
20/11/2007;0.2;3.970279;592.1
21/11/2007;0.8;3.970279;592.1
22/11/2007;13.6;3.970279;592.1
23/11/2007;0.6;3.970279;592.1
24/11/2007;0.2;3.970279;592.1
25/11/2007;12.8;3.970279;592.1
26/11/2007;1.8;3.970279;592.1
27/11/2007;0.8;3.970279;592.1
28/11/2007;0;3.970279;592.1
29/11/2007;2.4;3.970279;592.1
30/11/2007;53.2;3.970279;592.1
